Jimmit Dand,Manba Group is a great work-place for young minds to enhance skills and competencies and encourage the emerging talent to prosper by providing a positive &amp; active environment. It feels worthy to gain immense scope of learning &amp; exposure in each attributes in such a challenging and rapidly growing company. It is exciting to be a part of such a company with a promising bright future.,
Sampatraj Lalan  (Credit Product),"Working with Manba Finance has been a wonderful experience. Manba is a place where belief of ownership encourages and pushes us to think independently with a creative mindset to push ourselves out of our comfort zones. It helps accelerate growth. The communication channels are open, honest and transparent.",
Pankaja Renoy  (Operations),"Talking about my journey, my career progression has been quite impressive here�I got great opportunities could explore diversification, work beyond the current role and have enhanced my knowledge personally and professionally. One key thing is �Learning never stops at Manba Finance, all throughout my career the leaders have been very supportive towards developing my skills with adequate mentoring. This is a right organization for those who believe in professionalism, team work and freedom of work. There are list of reasons why Manba Finance is a great place to work�but I would conclude with a quote by Dave Ramsay �There�s a great place to go when you�re broke-to work",
,,
 Neha Karvir (Human Resources),I am proud to share my thoughts on the remarkable journey I have had as the HR at Manba Finance.,
,I have had the privilege of working with an incredibly talented and diverse team of individuals. The company�s emphasis on professional growth and development ensures that our employees are continually improving and contributing their best to the organization.,
,"Our commitment to an inclusive workplace, core values, and unwavering support for professional growth sets us apart. The culture of innovation drives us forward, ensuring we stay ahead in the business world.",
,"Manba is not just a workplace; it�s a dynamic, caring, and innovative family. I�m honoured to contribute to this remarkable organization and look forward to continued success and positive impact.",
,,
,,
Author,feedback,
Chinniah Benjamin,Excellent place to buy Artificial flowers and interior related items. Very reliable and morally sound people to deal with.,
Calcutta Chai Co,Used the service of I N M for the opening of my new restaurant. The services which they provided was excellent. Mr. Sandeep was kind enough to understand my requirements very patiently. Will definitely recommend their services.,
Betty Event,"Thank you, Interiors and More Ltd., for the excellent service! Mr. Sandeep truly listens and provides high-quality flowers with great attention to detail. We speak French and come from the DRC, and we really appreciate the exceptional customer service!",
,,
,,
Author,feedback,
Vogo Automotive Pvt. Ltd.,Vogo is using Arabian products from last six months and it has been an excellent experience with the product quality and performance,
JK Files (India) Limited,Our company have been associated with Arabian Petroleum Limited since 3 years. We use their products like flute grinding straight cutting oil (fg-01).We have been satisfied with their _quality.,
Godrej Boyce Mfg. Co. Ltd,"We use APL�s products like Nuspray Inst QD Gold - Antirust. We have been    delighted with their Quality  Value. (Special Mention For - Quality, Rates, and Excellence in     Service.)",
,Lubrication Handling & Storage: It’s more than you might think,
,,
,,
Author,Designation,feedback
Mr. Vishal Jain (Sr. Manager Project),Glenmark Pharmaceutical Ltd.,"We take the opportunity to extend our sincere gratitude and appreciation, for the effort that Fabtech Technologies Cleanroom Pvt. Ltd. had extended in the timely completion of Cleanroom project at Plant 16, Ankleaswar Site. We extend our thanks to all the staff involved in the project. We wish them continued success and prosperity in all their future venture and assure that they will be considered in Glenmark future Projects"
Mr. Anand Galphade,Sr. Director - Project & Execution Eisai Pharmaceutical India Pvt. Ltd.,"M/s. Fabtech Technologies Cleanroom Pvt. Ltd. has successfully completed our API Pilot plant expansion project at out Vizag plant. they have carried out this project to our satisfaction in terms of maintaining quality, time-lines and safety standard. The entire staff involved in this project has demonstrated very good attitude and cooperation. we wish Fabtech a great success in all their projects"
Mr. Vinay Wagh,Head - Factory Rajaram Consumer Care Pvt. Ltd,We award the certificate to Fabtech Technologies Cleanroom Pvt. Ltd. for their outstanding performance and efforts towards successful completion of cleanroom modular project for our Sangli Project. We wish them all the best and success to all the future ventures
Nichepharm Lifescience Private Ltd,,We highly appreciate the efforts put in by Fabtech      team for overcoming the hurdle of during execution. their ability to work through unforeseen challenges and collaborate approach is impressive and shows exceptional critical thinking skills a true dedication for the project. M/S Fabtech Team has met the quality and the other requirements as per our Standard. We have been having excellent support from the Entire team of Fabtech. 
